anio,cultivo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm_prom_ica,temp_max_c_prom_ica,temp_min_c_prom_ica
2020,Aceituna,,1543.0,6862.67,4447.615035644848,3.316483963238798,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Aceituna,,1543.0,5754.47,3729.403758911212,2.9954699563991123,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Aceituna,,1656.5,5905.099999999999,3564.8053124056746,3.475428019847251,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Aceituna,,1669.2,5583.45,3344.98562185478,3.9435927607482824,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Acelga,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Acelga,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Acelga,7.0,7.0,39.21,5601.428571428572,1.1331548074470796,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Acelga,33.0,37.0,246.5,6662.1621621621625,1.2,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Achiote,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Achiote,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Achiote,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Achiote,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Aguaje,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Aguaymanto,,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Ajo,1.0,2.0,22.1,11050.0,4.914027149321266,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Ajo,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Ajo,0.0,0.0,0.0,0.0,0.0,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Ajo,2.0,2.0,8.5,4250.0,2.8,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Ají,303.0,310.0,6631.1900000000005,21390.93548387097,1.648080661238782,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Ají,308.0,331.0,7551.072,22812.906344410876,1.2138961064071432,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Ají,274.0,256.0,5817.33,22723.9453125,1.5255013898128522,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Ají,343.5,390.5,14634.77,37477.00384122919,1.3837221220422322,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Albahaca,64.5,66.0,398.16999999999996,6032.878787878787,0.9176206143104704,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Albahaca,73.0,76.0,437.34000000000003,5754.473684210527,0.9168957790277587,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Albahaca,53.0,49.0,312.59999999999997,6379.591836734694,1.1473000639795268,0.017523053420288478,29.24518545226556,13.02798579572429
2023,Albahaca,68.0,64.0,413.3,6457.8125,1.2,0.017523053420288478,29.24518545226556,13.02798579572429
2020,Alcachofa,,1130.0,23312.8,20630.796460176993,4.192003534538966,0.017523053420288478,29.24518545226556,13.02798579572429
2021,Alcachofa,,1402.0,27500.2,19614.978601997147,4.078673973280194,0.017523053420288478,29.24518545226556,13.02798579572429
2022,Alcachofa,,1270.0,25287.8,19911.653543307086,4.397883722585595,0.017523053420288478,29.24518545226556,13.02798579572429
