cultivo,anio,mes,grupo,superficie_sembrada_ha,superficie_cosechada_ha,produccion_t,rendimiento_kg_ha,precio_chacra_soles_kg,precipitacion_mm,temp_max_c,temp_min_c
acelga,2022,5,A,2.0,1.0,6.21,6210.0,1.1,0.0022125351157609,28.782242610184774,11.549609665921906
acelga,2022,6,A,0.0,3.0,13.0,4333.333333333333,1.2,0.0046049840933191505,25.625561616376636,9.91502079657103
acelga,2022,9,A,0.0,3.0,20.0,6666.666666666667,1.1,0.0054668615984405,27.214289666811922,10.348455904937417
acelga,2023,2,A,0.0,2.0,12.0,6000.0,1.2,0.06510014539852604,32.8914658459493,17.667667703696974
acelga,2023,3,A,4.0,6.0,42.0,7000.0,1.2,0.0423774813895781,33.01318304507825,17.14057441741253
acelga,2023,4,A,4.0,7.0,29.0,4142.857142857143,1.2,0.00244555424990205,31.55768280174722,14.813744153904292
acelga,2023,7,A,3.0,4.0,37.0,9250.0,1.2,0.0059933842761166495,24.576227965695217,9.570422931188329
acelga,2023,8,A,0.0,4.0,37.0,9250.0,1.2,0.0028811690102011995,25.53867602564971,9.637504522840342
acelga,2023,9,A,0.0,4.0,25.0,6250.0,1.2,0.0054668615984405,27.214289666811922,10.348455904937417
acelga,2023,10,A,3.0,4.0,26.0,6500.0,1.2,0.0010604647354310998,28.768127396279702,11.397505622455661
acelga,2023,11,A,5.0,3.0,19.5,6500.0,1.2,0.00226729921410765,29.699171256039094,12.761856445020438
acelga,2023,12,A,2.0,3.0,19.0,6333.333333333333,1.2,0.008152268678215351,30.936590266283257,14.912426984240518
ajo,2020,1,A,0.0,1.0,12.0,12000.0,4.0,0.0672821744716048,31.97127306004451,16.892591757252685
ajo,2020,2,A,0.0,1.0,10.1,10100.0,6.0,0.06510014539852604,32.8914658459493,17.667667703696974
ajo,2023,9,A,0.0,2.0,8.5,4250.0,2.8,0.0054668615984405,27.214289666811922,10.348455904937417
ají,2020,1,A,18.0,31.0,635.0,20483.870967741936,1.0,0.0672821744716048,31.97127306004451,16.892591757252685
ají,2020,2,A,50.0,11.0,236.3,21481.818181818184,1.7843842573000424,0.06510014539852604,32.8914658459493,17.667667703696974
ají,2020,3,A,21.0,18.0,367.8,20433.333333333332,2.1794725394236,0.0423774813895781,33.01318304507825,17.14057441741253
ají,2020,4,A,32.0,15.0,317.95000000000005,21196.666666666668,2.0,0.00244555424990205,31.55768280174722,14.813744153904292
ají,2020,5,A,83.0,24.0,515.6,21483.333333333336,2.0,0.0022125351157609,28.782242610184774,11.549609665921906
ají,2020,6,A,10.0,29.0,571.1,19693.103448275862,1.7258273507266677,0.0046049840933191505,25.625561616376636,9.91502079657103
ají,2020,7,A,20.0,62.0,1247.7,20124.1935483871,1.5606636210627554,0.0059933842761166495,24.576227965695217,9.570422931188329
ají,2020,8,A,15.0,25.0,579.0,23160.0,1.2193436960276338,0.0028811690102011995,25.53867602564971,9.637504522840342
ají,2020,9,A,21.0,38.0,893.8,23521.052631578947,1.6235667934660998,0.0054668615984405,27.214289666811922,10.348455904937417
ají,2020,10,A,4.0,21.0,497.0,23666.666666666668,1.5725553319919519,0.0010604647354310998,28.768127396279702,11.397505622455661
ají,2020,11,A,18.0,20.0,421.5,21075.0,2.0,0.00226729921410765,29.699171256039094,12.761856445020438
ají,2020,12,A,11.0,16.0,348.44000000000005,21777.500000000004,1.976845367925611,0.008152268678215351,30.936590266283257,14.912426984240518
ají,2021,1,A,23.0,46.0,1059.46,23031.739130434784,1.6403526324731466,0.0672821744716048,31.97127306004451,16.892591757252685
ají,2021,2,A,18.0,40.0,897.07,22426.750000000004,1.5708027244250728,0.06510014539852604,32.8914658459493,17.667667703696974
ají,2021,3,A,14.0,40.0,905.75,22643.75,1.0481810654154016,0.0423774813895781,33.01318304507825,17.14057441741253
ají,2021,4,A,18.0,34.0,788.0,23176.470588235294,1.0,0.00244555424990205,31.55768280174722,14.813744153904292
ají,2021,5,A,62.0,7.0,150.464,21494.85714285714,1.5879413015737984,0.0022125351157609,28.782242610184774,11.549609665921906
ají,2021,6,A,4.0,18.0,401.52599999999995,22307.0,1.2950204968046901,0.0046049840933191505,25.625561616376636,9.91502079657103
ají,2021,7,A,6.0,21.0,457.632,21792.0,1.1682574645129713,0.0059933842761166495,24.576227965695217,9.570422931188329
ají,2021,8,A,11.0,18.0,360.412,20022.888888888887,1.2331509494689412,0.0028811690102011995,25.53867602564971,9.637504522840342
